label,botanical_name,common_name,family,parts_used,medicinal_property,side_effects
Surali,Celosia argentea,Surali,Amaranthaceae,Whole plant.,anti-inflammatory and analgesic effects.,"nausea or diarrhea,"
Talisfur,Rhododendron lepidotumÿWall. ex G.Don,Talisfur,ERICACEAE,Whole plant.,Whole plant used in traditional medicine for its potential anti-inflammatory and analgesic properties,"toxicity, including nausea, vomiting, abdominal pain, dizziness, weakness, and even coma in severe cases."
Tankaari,Physalis minima,Tankaari,Solanaceae,Fruit.,antioxidant and anti-inflammatory properties,Excessive consumption may cause gastrointestinal upset.
Tejpatta,Cinnamomum tamala,Tejpatta,Lauraceae,Leaves.,"Antibacterial, anti-inflammatory,they also aid in digestion and help alleviate digestive discomfort",irritation to the digestive tract.
thangi,Corylus jacquemontiiÿDecne,thangi,BETULACEAE,"Leaves, nuts.","Leaves and nuts have medicinal properties, including antioxidant and anti-inflammatory effects.","While Corylus species are generally considered safe, some individuals may experience allergic reactions, particularly to the pollen or nuts."
Thuth,Salvia moorcroftianaÿWall. ex Benth.,Thuth,LAMIACEAE,Whole plant.,natural remedy for respiratory conditions and digestive issues.,"dizziness, confusion, and even hallucinations."
Todri lila,Matthiola incanaÿ(L.) R.Br.,Todri lila,ASTERACEAE,Whole plant.,use in treating skin ailments and as a mild sedative,Skin irritation or allergic reactions may occur with topical use.
Tohlab,Ranunculus muricatus,Tohlab,Ranunculaceae,Whole plant.,traditional medicine for pain relief and skin conditions.,"burning sensations, blistering, and irritation if ingested or applied topically."
Trepatra,Trifolium pratenseÿL.,Trepatra,FABACEAE,"Flowers, leaves.",traditional use in promoting heart health and hormonal balance.,bloating or digestive discomfort.
Tukham malanga,Salvia aegypticaÿL.,Tukham malanga,LAMIACEAE,Seeds.,"Medicinal properties associated with the seeds, including anti-inflammatory and antimicrobial effects","Excessive consumption of Salvia species may cause dizziness, confusion, and gastrointestinal upset."
Tukhm shalgham,Brassica napus,Tukhm shalgham,Brassicaceae," Oil, seed","Antioxidant, anti-inflammatory, antithrombotic, emollient, diuretic, anticatarrhal, antithyroid","Itching, rash, or swelling, especially if consumed in large quantities,Some people may experience thyroid dysfunction"
Tunga,Cotinus coggygriaÿScop.,Tunga,ANACARDIACEAE,"Leaves, bark.","traditionally used for treating wounds, diarrhea, and skin conditions like eczema and dermatitis.","skin irritation or allergic reactions when applied topically, and gastrointestinal discomfort if ingested in large quantities"
Turmeric,Curcuma longa,Turmeric,Zingiberaceae,Rhizome.,"Anti-inflammatory, antioxidant,aiding in pain relief and promoting overall health. They are also used for their antimicrobial effects, assisting in wound healing and skin care",
Tuti,Morus alba L.,Tuti,Moraceae,"Leaves, fruits.","Antioxidant, anti-inflammatory, and hypoglycemic",May cause gastrointestinal discomfort or allergic reactions.
Utangana,Blepharis edulis (Forssk.) Pers,Utangana,Acanthaceae,Whole plant.,"Diuretic, anti-inflammatory, and antipyretic",allergic reactions in sensitive individuals
Utaran,Pergularia extensa (Jacq.) N.E.Br,Utaran,Asclepiadaceae,Whole plant.,"potential benefits for respiratory ailments, digestive issues, and as a traditional remedy for skin conditions.",gastrointestinal discomfort or allergic reactions in some individuals as side effects.
Vacha Bach,Acorus calamus L,Vacha Bach,Araceae,Rhizome.,"improving digestion, enhancing memory and cognitive function, and as a mild sedative","nausea, vomiting, diarrhea, or hallucinations. Pregnant women should avoid its use due to potential toxicity to the fetus."
Vanya yamaani,Seseli indicum,Vanya yamaani,Apiaceae,Seeds.,"Antibacterial, anti-inflammatory, anticonvulsant, antipyretic, antiparasitical, antimicrobial, insecticidal, anthelmintic, carminative, stomachic, stimulant.",
Varuna,Crateva adinsonii DC,Varuna,Capparaceae,"Bark, leaves.","Diuretic, anti-inflammatory, and antilithiatic.",Potential gastrointestinal discomfort or allergic reactions.
Vikankata,Flacourtia indica (Burm.f.) Merr,Vikankata,Flacourtiaceae,Fruit.,"Rich in antioxidants, astringent, and hepatoprotective","stomach upset, diarrhea, or nausea in sensitive individuals."
Zergul,Calendula officinalisÿL.,Zergul,ASTERACEAE,Flowers.,"Anti-inflammatory, wound healing, and antimicrobial",skin irritation
